"Facility","Date","Hour","ScheduledDepartures","DeparturesFor MetricComputation","DelayedGateDepartures","% DelayedGateDepartures","AverageMinutesOf DelayPer DelayedGateDeparture","ScheduledArrivals","ArrivalsFor MetricComputation","DelayedGateArrivals","% DelayedGateArrivals","AverageMinutesOf DelayPer DelayedGateArrival"
" PHL","06/10/2017","23","0","3","0","0.00","0.00","10","10","1","10.00","88.00"
" PHL","06/11/2017","0","0","0","0","0.00","0.00","11","6","1","16.67","43.00"
" PHL","06/11/2017","1","0","0","0","0.00","0.00","1","1","0","0.00","0.00"
" PHL","06/11/2017","2","0","0","0","0.00","0.00","1","0","0","0.00","0.00"
" PHL","06/11/2017","4","0","0","0","0.00","0.00","1","1","0","0.00","0.00"
" PHL","06/11/2017","5","6","6","0","0.00","0.00","2","4","0","0.00","0.00"
" PHL","06/11/2017","6","15","15","2","13.33","19.00","8","7","0","0.00","0.00"
" PHL","06/11/2017","7","12","12","1","8.33","20.00","44","42","3","7.14","50.33"
" PHL","06/11/2017","8","65","67","5","7.46","27.00","5","5","0","0.00","0.00"
" PHL","06/11/2017","9","12","14","1","7.14","38.00","40","40","3","7.50","27.33"
" PHL","06/11/2017","10","38","40","4","10.00","31.75","24","24","1","4.17","39.00"
" PHL","06/11/2017","11","34","35","4","11.43","38.00","10","10","1","10.00","20.00"
" PHL","06/11/2017","12","11","11","0","0.00","0.00","42","43","2","4.65","50.50"
" PHL","06/11/2017","13","44","46","2","4.35","75.00","25","25","2","8.00","68.00"
" PHL","06/11/2017","14","11","11","1","9.09","24.00","44","44","1","2.27","54.00"
" PHL","06/11/2017","15","44","44","2","4.55","100.00","25","26","1","3.85","71.00"
" PHL","06/11/2017","16","27","29","4","13.79","33.00","57","58","15","25.86","49.20"
" PHL","06/11/2017","17","38","38","12","31.58","49.58","36","40","13","32.50","39.08"
" PHL","06/11/2017","18","55","55","13","23.64","59.77","21","26","5","19.23","50.20"
" PHL","06/11/2017","19","9","12","4","33.33","54.00","57","58","16","27.59","46.13"
" PHL","06/11/2017","20","58","59","13","22.03","43.46","9","9","3","33.33","50.00"
" PHL","06/11/2017","21","13","13","5","38.46","64.80","8","9","4","44.44","54.75"
" PHL","06/11/2017","22","1","1","0","0.00","0.00","14","14","6","42.86","30.83"
" PHL","06/11/2017","23","0","1","1","100.00","62.00","6","7","2","28.57","68.50"
" PHL","06/12/2017","0","0","0","0","0.00","0.00","10","11","0","0.00","0.00"
" PHL","06/12/2017","1","0","0","0","0.00","0.00","2","1","0","0.00","0.00"
" PHL","06/12/2017","2","0","0","0","0.00","0.00","1","1","0","0.00","0.00"
" PHL","06/12/2017","4","0","0","0","0.00","0.00","1","1","0","0.00","0.00"
" PHL","06/12/2017","5","7","7","1","14.29","73.00","2","3","1","33.33","21.00"
" PHL","06/12/2017","6","19","20","1","5.00","26.00","9","11","3","27.27","29.33"
" PHL","06/12/2017","7","12","14","1","7.14","48.00","52","52","4","7.69","32.00"
" PHL","06/12/2017","8","67","67","3","4.48","33.00","7","7","1","14.29","26.00"
" PHL","06/12/2017","9","16","16","3","18.75","50.67","39","39","5","12.82","29.20"
" PHL","06/12/2017","10","36","37","4","10.81","59.50","29","30","2","6.67","66.00"
" PHL","06/12/2017","11","35","35","3","8.57","21.00","11","12","2","16.67","39.00"
" PHL","06/12/2017","12","14","14","1","7.14","19.00","45","47","4","8.51","32.75"
" PHL","06/12/2017","13","45","51","8","15.69","45.00","24","28","3","10.71","33.33"
" PHL","06/12/2017","14","11","14","5","35.71","48.20","43","45","5","11.11","32.00"
" PHL","06/12/2017","15","44","46","6","13.04","34.83","25","24","1","4.17","39.00"
" PHL","06/12/2017","16","26","26","4","15.38","46.00","56","56","10","17.86","33.30"
" PHL","06/12/2017","17","38","37","10","27.03","42.80","36","39","8","20.51","22.38"
" PHL","06/12/2017","18","55","56","6","10.71","27.67","19","24","4","16.67","57.00"
" PHL","06/12/2017","19","11","14","3","21.43","54.00","56","58","3","5.17","48.67"
" PHL","06/12/2017","20","55","54","3","5.56","48.67","11","12","2","16.67","150.50"
" PHL","06/12/2017","21","12","14","2","14.29","43.50","6","6","1","16.67","35.00"
" PHL","06/12/2017","22","1","5","0","0.00","0.00","12","12","3","25.00","54.67"
" PHL","06/12/2017","23","0","1","0","0.00","0.00","8","12","1","8.33","44.00"
" PHL","06/13/2017","0","0","0","0","0.00","0.00","10","16","4","25.00","24.50"
" PHL","06/13/2017","1","0","0","0","0.00","0.00","2","3","1","33.33","15.00"
" PHL","06/13/2017","2","0","1","1","100.00","75.00","1","2","0","0.00","0.00"
" PHL","06/13/2017","3","0","10","2","20.00","33.00","0","0","0","0.00","0.00"
" PHL","06/13/2017","4","0","0","0","0.00","0.00","1","1","1","100.00","16.00"
" PHL","06/13/2017","5","7","7","0","0.00","0.00","2","5","3","60.00","30.33"
" PHL","06/13/2017","6","19","19","1","5.26","61.00","9","13","4","30.77","30.00"
" PHL","06/13/2017","7","13","14","2","14.29","18.00","52","53","3","5.66","41.00"
" PHL","06/13/2017","8","66","72","9","12.50","19.44","7","11","0","0.00","0.00"
" PHL","06/13/2017","9","16","20","3","15.00","30.00","39","40","2","5.00","33.50"
" PHL","06/13/2017","10","36","40","2","5.00","18.50","29","32","2","6.25","28.50"
" PHL","06/13/2017","11","35","36","7","19.44","34.57","11","11","1","9.09","65.00"
" PHL","06/13/2017","12","14","16","1","6.25","17.00","44","47","7","14.89","32.29"
" PHL","06/13/2017","13","44","47","6","12.77","46.67","25","27","1","3.70","46.00"
" PHL","06/13/2017","14","12","14","3","21.43","80.00","43","45","4","8.89","47.50"
" PHL","06/13/2017","15","44","44","5","11.36","39.00","24","24","1","4.17","29.00"
" PHL","06/13/2017","16","26","26","7","26.92","39.86","57","56","11","19.64","37.55"
" PHL","06/13/2017","17","38","37","8","21.62","61.63","36","39","13","33.33","47.38"
" PHL","06/13/2017","18","55","56","27","48.21","72.74","19","22","12","54.55","119.17"
" PHL","06/13/2017","19","11","12","6","50.00","47.17","57","53","31","58.49","77.10"
" PHL","06/13/2017","20","56","51","23","45.10","51.00","11","11","8","72.73","46.88"
" PHL","06/13/2017","21","13","14","3","21.43","57.00","6","8","2","25.00","32.00"
" PHL","06/13/2017","22","0","3","0","0.00","0.00","12","12","5","41.67","42.80"
" PHL","06/13/2017","23","0","2","0","0.00","0.00","8","12","4","33.33","53.75"
" PHL","06/14/2017","0","0","0","0","0.00","0.00","10","18","7","38.89","42.43"
" PHL","06/14/2017","1","0","0","0","0.00","0.00","2","3","1","33.33","140.00"
" PHL","06/14/2017","2","0","1","1","100.00","96.00","1","1","1","100.00","29.00"
" PHL","06/14/2017","3","0","10","9","90.00","32.56","0","0","0","0.00","0.00"
" PHL","06/14/2017","4","0","0","0","0.00","0.00","1","1","0","0.00","0.00"
" PHL","06/14/2017","5","7","8","0","0.00","0.00","2","5","3","60.00","34.67"
" PHL","06/14/2017","6","19","18","1","5.56","30.00","9","12","6","50.00","40.00"
" PHL","06/14/2017","7","12","14","3","21.43","69.33","52","53","6","11.32","41.83"
" PHL","06/14/2017","8","67","74","9","12.16","51.00","7","12","2","16.67","20.50"
" PHL","06/14/2017","9","15","17","1","5.88","48.00","39","39","7","17.95","49.86"
" PHL","06/14/2017","10","36","39","8","20.51","28.13","29","30","6","20.00","35.33"
" PHL","06/14/2017","11","35","36","9","25.00","47.56","11","13","1","7.69","21.00"
" PHL","06/14/2017","12","14","18","7","38.89","31.86","45","47","11","23.40","45.64"
" PHL","06/14/2017","13","45","45","8","17.78","36.50","24","26","2","7.69","21.50"
" PHL","06/14/2017","14","11","11","3","27.27","24.00","43","46","11","23.91","43.64"
" PHL","06/14/2017","15","44","49","13","26.53","36.46","25","28","8","28.57","38.13"
" PHL","06/14/2017","16","26","27","8","29.63","65.75","56","57","24","42.11","74.46"
" PHL","06/14/2017","17","38","35","18","51.43","41.50","36","40","30","75.00","72.37"
" PHL","06/14/2017","18","55","55","21","38.18","56.62","18","19","17","89.47","83.41"
" PHL","06/14/2017","19","11","12","6","50.00","73.67","57","47","37","78.72","82.30"
" PHL","06/14/2017","20","56","43","30","69.77","72.03","11","11","9","81.82","75.67"
" PHL","06/14/2017","21","12","12","8","66.67","59.25","6","6","3","50.00","73.00"
" PHL","06/14/2017","22","1","5","1","20.00","40.00","12","11","6","54.55","36.67"
" PHL","06/14/2017","23","0","1","0","0.00","0.00","7","12","3","25.00","24.00"
" PHL","06/15/2017","0","0","0","0","0.00","0.00","10","14","3","21.43","50.33"
" PHL","06/15/2017","1","0","0","0","0.00","0.00","2","2","0","0.00","0.00"
" PHL","06/15/2017","2","0","0","0","0.00","0.00","1","1","0","0.00","0.00"
" PHL","06/15/2017","3","0","10","0","0.00","0.00","0","0","0","0.00","0.00"
" PHL","06/15/2017","4","0","1","0","0.00","0.00","1","1","0","0.00","0.00"
" PHL","06/15/2017","5","7","6","1","16.67","187.00","2","5","2","40.00","29.00"
" PHL","06/15/2017","6","18","18","3","16.67","46.00","9","13","5","38.46","88.20"
" PHL","06/15/2017","7","14","15","3","20.00","21.67","52","53","4","7.55","43.00"
" PHL","06/15/2017","8","65","73","9","12.33","31.44","7","13","4","30.77","31.25"
" PHL","06/15/2017","9","16","21","7","33.33","29.71","39","41","7","17.07","44.86"
" PHL","06/15/2017","10","36","39","10","25.64","30.60","29","30","4","13.33","36.00"
" PHL","06/15/2017","11","35","35","6","17.14","40.83","11","12","3","25.00","46.00"
" PHL","06/15/2017","12","14","18","5","27.78","34.40","44","46","11","23.91","28.45"
" PHL","06/15/2017","13","45","45","7","15.56","42.43","26","28","3","10.71","63.33"
" PHL","06/15/2017","14","12","15","2","13.33","31.00","42","45","10","22.22","33.00"
" PHL","06/15/2017","15","43","46","9","19.57","35.22","25","26","4","15.38","52.25"
" PHL","06/15/2017","16","25","23","5","21.74","61.60","56","56","18","32.14","44.33"
" PHL","06/15/2017","17","40","38","16","42.11","55.81","36","38","21","55.26","67.14"
" PHL","06/15/2017","18","54","52","19","36.54","46.00","18","21","16","76.19","79.63"
" PHL","06/15/2017","19","11","12","7","58.33","84.29","57","50","33","66.00","55.15"
" PHL","06/15/2017","20","56","47","21","44.68","34.43","11","10","6","60.00","68.00"
" PHL","06/15/2017","21","12","12","3","25.00","46.67","5","8","2","25.00","79.50"
" PHL","06/15/2017","22","0","4","1","25.00","22.00","13","13","9","69.23","64.11"
" PHL","06/15/2017","23","0","2","1","50.00","19.00","7","11","7","63.64","52.29"
" PHL","06/16/2017","0","0","0","0","0.00","0.00","10","15","4","26.67","40.75"
" PHL","06/16/2017","1","0","0","0","0.00","0.00","2","2","2","100.00","20.00"
" PHL","06/16/2017","2","0","0","0","0.00","0.00","1","1","0","0.00","0.00"
" PHL","06/16/2017","3","0","10","3","30.00","50.67","0","0","0","0.00","0.00"
" PHL","06/16/2017","4","0","0","0","0.00","0.00","1","1","0","0.00","0.00"
" PHL","06/16/2017","5","7","7","1","14.29","52.00","3","5","2","40.00","42.50"
" PHL","06/16/2017","6","18","18","0","0.00","0.00","8","13","6","46.15","36.67"
" PHL","06/16/2017","7","13","16","4","25.00","62.00","52","53","7","13.21","50.71"
" PHL","06/16/2017","8","66","70","8","11.43","36.63","7","8","1","12.50","23.00"
" PHL","06/16/2017","9","16","20","3","15.00","36.00","39","41","8","19.51","39.63"
" PHL","06/16/2017","10","36","39","6","15.38","101.50","29","28","1","3.57","28.00"
" PHL","06/16/2017","11","35","38","11","28.95","39.91","11","12","1","8.33","27.00"
" PHL","06/16/2017","12","14","14","3","21.43","46.00","45","43","7","16.28","33.14"
" PHL","06/16/2017","13","46","48","12","25.00","36.67","25","26","2","7.69","40.50"
" PHL","06/16/2017","14","11","14","4","28.57","43.00","42","46","11","23.91","57.55"
" PHL","06/16/2017","15","43","43","11","25.58","55.18","26","27","6","22.22","77.67"
" PHL","06/16/2017","16","25","25","6","24.00","47.33","55","55","24","43.64","64.88"
" PHL","06/16/2017","17","40","38","17","44.74","43.35","36","39","18","46.15","55.33"
" PHL","06/16/2017","18","54","53","29","54.72","60.93","18","18","9","50.00","80.89"
" PHL","06/16/2017","19","11","12","4","33.33","40.25","57","50","25","50.00","87.96"
" PHL","06/16/2017","20","56","47","25","53.19","54.44","11","8","5","62.50","68.60"
" PHL","06/16/2017","21","11","9","5","55.56","74.40","5","6","4","66.67","47.25"
" PHL","06/16/2017","22","1","4","1","25.00","38.00","13","13","9","69.23","54.89"
" PHL","06/16/2017","23","0","1","0","0.00","0.00","7","7","3","42.86","47.33"
" PHL","06/17/2017","0","0","0","0","0.00","0.00","5","10","3","30.00","26.67"
" PHL","06/17/2017","1","0","1","0","0.00","0.00","1","2","0","0.00","0.00"
" PHL","06/17/2017","2","0","0","0","0.00","0.00","0","1","0","0.00","0.00"
" PHL","06/17/2017","4","0","0","0","0.00","0.00","1","1","1","100.00","19.00"
" PHL","06/17/2017","5","6","6","1","16.67","82.00","3","3","2","66.67","47.50"
" PHL","06/17/2017","6","18","18","2","11.11","22.00","8","10","3","30.00","32.67"
" PHL","06/17/2017","7","10","10","1","10.00","25.00","48","49","17","34.69","34.88"
" PHL","06/17/2017","8","66","67","21","31.34","34.95","5","8","3","37.50","29.00"
" PHL","06/17/2017","9","11","12","2","16.67","22.50","39","39","17","43.59","44.88"
" PHL","06/17/2017","10","39","40","11","27.50","31.55","28","28","2","7.14","37.00"
" PHL","06/17/2017","11","30","31","12","38.71","57.17","10","12","5","41.67","35.00"
" PHL","06/17/2017","12","12","13","2","15.38","49.00","37","37","7","18.92","43.43"
" PHL","06/17/2017","13","36","37","5","13.51","19.80","20","19","1","5.26","17.00"
" PHL","06/17/2017","14","9","10","1","10.00","20.00","43","43","12","27.91","38.67"
" PHL","06/17/2017","15","40","41","10","24.39","72.00","26","27","3","11.11","65.67"
" PHL","06/17/2017","16","20","20","4","20.00","46.25","49","50","15","30.00","50.73"
" PHL","06/17/2017","17","37","39","21","53.85","51.10","35","36","22","61.11","37.73"
" PHL","06/17/2017","18","51","53","17","32.08","39.65","11","13","5","38.46","33.60"
" PHL","06/17/2017","19","6","7","4","57.14","64.75","47","46","19","41.30","42.16"
" PHL","06/17/2017","20","49","48","14","29.17","57.21","9","9","5","55.56","68.20"
" PHL","06/17/2017","21","10","10","2","20.00","23.50","7","7","3","42.86","45.67"
" PHL","06/17/2017","22","1","1","1","100.00","38.00","11","12","6","50.00","31.33"
" PHL","06/17/2017","23","0","2","0","0.00","0.00","9","9","1","11.11","54.00"
" PHL","06/18/2017","0","0","2","0","0.00","0.00","11","5","2","40.00","63.00"
" PHL","06/18/2017","1","0","0","0","0.00","0.00","1","1","0","0.00","0.00"
" PHL","06/18/2017","2","0","0","0","0.00","0.00","1","0","0","0.00","0.00"
" PHL","06/18/2017","4","0","0","0","0.00","0.00","1","1","0","0.00","0.00"
" PHL","06/18/2017","5","5","5","0","0.00","0.00","2","3","2","66.67","43.50"
" PHL","06/18/2017","6","15","15","0","0.00","0.00","9","9","4","44.44","30.75"
" PHL","06/18/2017","7","13","13","2","15.38","23.50","45","45","12","26.67","45.00"
" PHL","06/18/2017","8","65","68","9","13.24","46.67","6","7","2","28.57","58.50"
" PHL","06/18/2017","9","13","15","5","33.33","55.40","40","40","6","15.00","29.67"
" PHL","06/18/2017","10","39","41","5","12.20","27.20","25","28","4","14.29","30.50"
" PHL","06/18/2017","11","33","35","3","8.57","31.00","9","9","1","11.11","133.00"
" PHL","06/18/2017","12","11","12","2","16.67","52.00","42","42","14","33.33","36.43"
" PHL","06/18/2017","13","44","44","9","20.45","41.22","26","26","1","3.85","27.00"
" PHL","06/18/2017","14","11","13","2","15.38","20.50","43","46","11","23.91","50.45"
" PHL","06/18/2017","15","43","45","10","22.22","41.80","25","28","5","17.86","51.60"
" PHL","06/18/2017","16","26","28","11","39.29","46.73","56","54","16","29.63","42.75"
" PHL","06/18/2017","17","39","41","18","43.90","52.78","37","39","21","53.85","50.10"
" PHL","06/18/2017","18","54","52","20","38.46","39.80","19","20","12","60.00","39.50"
" PHL","06/18/2017","19","12","13","6","46.15","34.83","59","62","35","56.45","50.63"
" PHL","06/18/2017","20","59","58","23","39.66","41.35","9","11","4","36.36","56.50"
" PHL","06/18/2017","21","12","13","2","15.38","31.00","7","7","3","42.86","60.33"
" PHL","06/18/2017","22","1","2","0","0.00","0.00","15","15","8","53.33","38.75"
" PHL","06/18/2017","23","0","1","0","0.00","0.00","6","7","0","0.00","0.00"
" PHL","06/19/2017","0","0","0","0","0.00","0.00","10","11","2","18.18","15.00"
" PHL","06/19/2017","1","0","0","0","0.00","0.00","2","1","0","0.00","0.00"
" PHL","06/19/2017","2","0","0","0","0.00","0.00","1","2","0","0.00","0.00"
" PHL","06/19/2017","4","0","0","0","0.00","0.00","1","1","0","0.00","0.00"
" PHL","06/19/2017","5","7","7","0","0.00","0.00","2","4","2","50.00","22.00"
" PHL","06/19/2017","6","18","18","0","0.00","0.00","9","9","0","0.00","0.00"
" PHL","06/19/2017","7","13","13","5","38.46","38.20","52","48","8","16.67","37.88"
" PHL","06/19/2017","8","66","66","10","15.15","54.20","8","8","1","12.50","16.00"
" PHL","06/19/2017","9","16","17","4","23.53","75.50","39","38","9","23.68","29.67"
" PHL","06/19/2017","10","36","36","11","30.56","39.73","29","32","10","31.25","40.10"
" PHL","06/19/2017","11","35","31","4","12.90","99.75","11","12","2","16.67","21.50"
" PHL","06/19/2017","12","14","10","7","70.00","122.00","45","44","24","54.55","38.00"
" PHL","06/19/2017","13","46","27","16","59.26","147.81","25","26","12","46.15","34.58"
" PHL","06/19/2017","14","11","9","9","100.00","148.33","42","29","17","58.62","183.41"
" PHL","06/19/2017","15","43","22","10","45.45","73.10","26","16","6","37.50","107.50"
" PHL","06/19/2017","16","25","9","7","77.78","101.86","55","30","18","60.00","149.44"
" PHL","06/19/2017","17","40","19","13","68.42","99.46","36","17","15","88.24","80.60"
" PHL","06/19/2017","18","54","32","24","75.00","78.13","18","11","7","63.64","114.00"
" PHL","06/19/2017","19","11","7","5","71.43","99.60","57","26","15","57.69","105.53"
" PHL","06/19/2017","20","56","29","22","75.86","40.00","11","6","5","83.33","51.40"
" PHL","06/19/2017","21","11","11","8","72.73","50.13","5","6","2","33.33","37.50"
" PHL","06/19/2017","22","1","4","2","50.00","91.00","13","16","13","81.25","57.08"
" PHL","06/19/2017","23","0","2","1","50.00","39.00","7","13","5","38.46","72.80"
" PHL","06/20/2017","0","0","0","0","0.00","0.00","10","15","7","46.67","47.00"
" PHL","06/20/2017","1","0","0","0","0.00","0.00","2","2","1","50.00","60.00"
" PHL","06/20/2017","2","0","1","1","100.00","37.00","1","1","0","0.00","0.00"
" PHL","06/20/2017","3","0","9","1","11.11","20.00","0","0","0","0.00","0.00"
" PHL","06/20/2017","4","0","1","1","100.00","15.00","1","3","1","33.33","45.00"
" PHL","06/20/2017","5","7","7","2","28.57","31.50","2","6","2","33.33","26.00"
" PHL","06/20/2017","6","18","20","4","20.00","36.25","9","12","4","33.33","35.25"
" PHL","06/20/2017","7","14","15","4","26.67","49.25","52","43","9","20.93","34.89"
" PHL","06/20/2017","8","65","72","13","18.06","38.77","7","11","1","9.09","161.00"
" PHL","06/20/2017","9","16","20","8","40.00","41.88","39","39","10","25.64","79.50"
" PHL","06/20/2017","10","36","40","5","12.50","31.20","29","25","3","12.00","62.67"
" PHL","06/20/2017","11","35","35","8","22.86","41.13","11","13","5","38.46","56.40"
" PHL","06/20/2017","12","14","17","6","35.29","47.17","44","44","11","25.00","51.45"
" PHL","06/20/2017","13","45","50","11","22.00","70.55","26","30","4","13.33","63.00"
" PHL","06/20/2017","14","12","13","2","15.38","37.00","42","44","13","29.55","53.92"
" PHL","06/20/2017","15","43","49","12","24.49","49.58","25","25","2","8.00","70.50"
" PHL","06/20/2017","16","25","27","8","29.63","57.50","56","55","14","25.45","33.93"
" PHL","06/20/2017","17","40","42","15","35.71","71.27","36","43","10","23.26","42.90"
" PHL","06/20/2017","18","54","56","15","26.79","34.73","18","21","6","28.57","37.33"
" PHL","06/20/2017","19","11","13","3","23.08","33.67","58","58","17","29.31","43.41"
" PHL","06/20/2017","20","57","57","10","17.54","42.20","11","11","3","27.27","63.67"
" PHL","06/20/2017","21","12","13","1","7.69","23.00","5","6","0","0.00","0.00"
" PHL","06/20/2017","22","0","5","0","0.00","0.00","13","14","4","28.57","33.00"
" PHL","06/20/2017","23","0","1","0","0.00","0.00","7","12","3","25.00","26.67"
" PHL","06/21/2017","0","0","0","0","0.00","0.00","10","14","2","14.29","40.50"
" PHL","06/21/2017","1","0","0","0","0.00","0.00","2","2","0","0.00","0.00"
" PHL","06/21/2017","2","0","1","1","100.00","40.00","1","1","0","0.00","0.00"
" PHL","06/21/2017","3","0","9","3","33.33","24.00","0","0","0","0.00","0.00"
" PHL","06/21/2017","4","0","1","0","0.00","0.00","1","2","1","50.00","25.00"
" PHL","06/21/2017","5","7","7","0","0.00","0.00","2","5","2","40.00","33.00"
" PHL","06/21/2017","6","18","18","1","5.56","43.00","9","12","4","33.33","46.00"
" PHL","06/21/2017","7","13","14","1","7.14","27.00","52","55","7","12.73","28.14"
" PHL","06/21/2017","8","66","71","8","11.27","36.88","7","9","1","11.11","50.00"
" PHL","06/21/2017","9","15","16","5","31.25","35.20","39","38","3","7.89","41.33"
" PHL","06/21/2017","10","36","38","5","13.16","30.00","29","30","0","0.00","0.00"
" PHL","06/21/2017","11","35","36","4","11.11","35.25","11","11","0","0.00","0.00"
" PHL","06/21/2017","12","14","16","2","12.50","46.00","45","46","6","13.04","36.00"
" PHL","06/21/2017","13","46","46","3","6.52","43.33","25","27","2","7.41","35.50"
" PHL","06/21/2017","14","11","12","1","8.33","20.00","42","44","7","15.91","28.86"
" PHL","06/21/2017","15","43","46","9","19.57","69.78","26","26","3","11.54","30.00"
" PHL","06/21/2017","16","25","27","9","33.33","61.44","55","55","25","45.45","59.48"
" PHL","06/21/2017","17","40","40","18","45.00","48.39","36","35","19","54.29","78.68"
" PHL","06/21/2017","18","54","52","21","40.38","65.38","17","28","19","67.86","97.00"
" PHL","06/21/2017","19","11","11","4","36.36","88.75","58","55","33","60.00","75.58"
" PHL","06/21/2017","20","57","55","24","43.64","62.38","11","12","4","33.33","55.00"
" PHL","06/21/2017","21","11","12","4","33.33","46.00","5","5","4","80.00","34.00"
" PHL","06/21/2017","22","1","5","1","20.00","15.00","13","13","2","15.38","16.00"
" PHL","06/21/2017","23","0","1","0","0.00","0.00","7","13","1","7.69","20.00"
" PHL","06/22/2017","0","0","0","0","0.00","0.00","10","14","0","0.00","0.00"
" PHL","06/22/2017","1","0","0","0","0.00","0.00","2","3","1","33.33","74.00"
" PHL","06/22/2017","2","0","1","1","100.00","33.00","1","1","0","0.00","0.00"
" PHL","06/22/2017","3","0","9","2","22.22","26.00","0","0","0","0.00","0.00"
" PHL","06/22/2017","4","0","0","0","0.00","0.00","1","3","1","33.33","34.00"
" PHL","06/22/2017","5","7","7","1","14.29","17.00","2","5","1","20.00","26.00"
" PHL","06/22/2017","6","18","19","1","5.26","23.00","9","12","3","25.00","43.33"
" PHL","06/22/2017","7","14","17","4","23.53","56.00","52","54","4","7.41","25.50"
" PHL","06/22/2017","8","65","67","5","7.46","25.00","7","11","2","18.18","37.00"
" PHL","06/22/2017","9","16","19","0","0.00","0.00","39","40","2","5.00","49.00"
" PHL","06/22/2017","10","36","38","4","10.53","26.75","29","30","4","13.33","52.75"
" PHL","06/22/2017","11","35","36","5","13.89","44.60","11","14","3","21.43","24.33"
" PHL","06/22/2017","12","14","17","5","29.41","30.60","44","46","6","13.04","41.33"
" PHL","06/22/2017","13","45","49","10","20.41","39.70","27","30","2","6.67","38.00"
" PHL","06/22/2017","14","13","16","1","6.25","55.00","42","44","7","15.91","31.71"
" PHL","06/22/2017","15","43","47","9","19.15","33.56","25","25","2","8.00","51.50"
" PHL","06/22/2017","16","25","27","5","18.52","31.40","56","56","10","17.86","34.30"
" PHL","06/22/2017","17","40","42","6","14.29","34.33","36","39","10","25.64","39.80"
" PHL","06/22/2017","18","54","54","12","22.22","33.92","18","21","4","19.05","47.50"
" PHL","06/22/2017","19","11","12","1","8.33","33.00","57","55","25","45.45","37.76"
" PHL","06/22/2017","20","55","53","16","30.19","39.00","10","10","2","20.00","51.50"
" PHL","06/22/2017","21","12","15","1","6.67","194.00","5","6","2","33.33","57.00"
" PHL","06/22/2017","22","0","3","1","33.33","15.00","13","13","5","38.46","72.20"
" PHL","06/22/2017","23","0","1","0","0.00","0.00","7","13","6","46.15","42.67"
" PHL","06/23/2017","0","0","0","0","0.00","0.00","10","14","4","28.57","22.75"
" PHL","06/23/2017","1","0","0","0","0.00","0.00","2","2","0","0.00","0.00"
" PHL","06/23/2017","2","0","0","0","0.00","0.00","1","1","0","0.00","0.00"
" PHL","06/23/2017","3","0","10","1","10.00","62.00","0","0","0","0.00","0.00"
" PHL","06/23/2017","4","0","0","0","0.00","0.00","1","1","0","0.00","0.00"
" PHL","06/23/2017","5","7","7","0","0.00","0.00","3","7","4","57.14","25.50"
" PHL","06/23/2017","6","18","18","0","0.00","0.00","8","14","6","42.86","34.17"
" PHL","06/23/2017","7","13","15","3","20.00","19.67","52","51","10","19.61","41.40"
" PHL","06/23/2017","8","66","73","8","10.96","51.13","7","9","2","22.22","34.50"
" PHL","06/23/2017","9","16","17","1","5.88","50.00","39","39","8","20.51","29.63"
" PHL","06/23/2017","10","36","37","5","13.51","33.80","29","28","3","10.71","30.00"
" PHL","06/23/2017","11","35","33","14","42.42","53.79","11","10","1","10.00","83.00"
" PHL","06/23/2017","12","14","13","4","30.77","40.00","45","46","15","32.61","43.60"
" PHL","06/23/2017","13","46","46","15","32.61","48.47","26","26","4","15.38","26.75"
" PHL","06/23/2017","14","12","13","1","7.69","31.00","42","42","21","50.00","49.10"
" PHL","06/23/2017","15","43","36","17","47.22","38.35","26","26","10","38.46","42.00"
" PHL","06/23/2017","16","25","23","10","43.48","33.50","55","50","26","52.00","66.85"
" PHL","06/23/2017","17","40","39","21","53.85","35.10","36","36","25","69.44","73.36"
" PHL","06/23/2017","18","54","49","21","42.86","57.38","18","19","13","68.42","82.31"
" PHL","06/23/2017","19","11","11","3","27.27","31.00","57","48","28","58.33","67.68"
" PHL","06/23/2017","20","55","50","26","52.00","41.31","10","7","4","57.14","44.75"
" PHL","06/23/2017","21","11","11","6","54.55","43.17","5","5","3","60.00","86.33"
" PHL","06/23/2017","22","1","2","1","50.00","21.00","13","14","6","42.86","32.33"
" PHL","06/23/2017","23","0","1","0","0.00","0.00","7","7","1","14.29","21.00"
" PHL","06/24/2017","0","0","0","0","0.00","0.00","5","9","1","11.11","18.00"
" PHL","06/24/2017","1","0","0","0","0.00","0.00","1","2","0","0.00","0.00"
" PHL","06/24/2017","2","0","0","0","0.00","0.00","0","1","0","0.00","0.00"
" PHL","06/24/2017","3","0","0","0","0.00","0.00","0","1","0","0.00","0.00"
" PHL","06/24/2017","4","0","0","0","0.00","0.00","1","1","0","0.00","0.00"
" PHL","06/24/2017","5","6","8","1","12.50","100.00","3","3","2","66.67","27.50"
" PHL","06/24/2017","6","18","18","4","22.22","85.00","8","10","6","60.00","37.83"
" PHL","06/24/2017","7","10","10","3","30.00","38.00","48","45","31","68.89","44.03"
" PHL","06/24/2017","8","66","70","23","32.86","46.39","5","10","6","60.00","38.00"
" PHL","06/24/2017","9","11","12","1","8.33","84.00","39","38","5","13.16","26.00"
" PHL","06/24/2017","10","39","39","8","20.51","25.75","28","30","3","10.00","46.00"
" PHL","06/24/2017","11","30","33","5","15.15","27.80","10","10","3","30.00","50.67"
" PHL","06/24/2017","12","12","14","2","14.29","23.00","37","38","10","26.32","48.00"
