"Facility","Date","Hour","ScheduledDepartures","DeparturesFor MetricComputation","DelayedGateDepartures","% DelayedGateDepartures","AverageMinutesOf DelayPer DelayedGateDeparture","ScheduledArrivals","ArrivalsFor MetricComputation","DelayedGateArrivals","% DelayedGateArrivals","AverageMinutesOf DelayPer DelayedGateArrival"
" PHL","01/18/2017","7","14","16","2","12.50","25.50","42","42","11","26.19","37.91"
" PHL","01/18/2017","8","47","57","13","22.81","41.77","5","9","3","33.33","36.67"
" PHL","01/18/2017","9","13","13","0","0.00","0.00","41","41","10","24.39","57.50"
" PHL","01/18/2017","10","35","38","8","21.05","40.50","25","26","4","15.38","24.75"
" PHL","01/18/2017","11","43","44","4","9.09","24.50","11","12","1","8.33","80.00"
" PHL","01/18/2017","12","8","9","0","0.00","0.00","12","12","0","0.00","0.00"
" PHL","01/18/2017","13","13","14","3","21.43","52.00","11","13","0","0.00","0.00"
" PHL","01/18/2017","14","6","9","2","22.22","52.50","47","49","8","16.33","56.25"
" PHL","01/18/2017","15","41","43","3","6.98","35.33","16","16","0","0.00","0.00"
" PHL","01/18/2017","16","28","27","4","14.81","41.25","50","52","12","23.08","40.58"
" PHL","01/18/2017","17","36","36","4","11.11","28.50","33","35","5","14.29","66.80"
" PHL","01/18/2017","18","45","47","8","17.02","35.88","19","25","4","16.00","72.75"
" PHL","01/18/2017","19","6","7","0","0.00","0.00","54","53","6","11.32","38.00"
" PHL","01/18/2017","20","49","49","4","8.16","56.00","6","6","0","0.00","0.00"
" PHL","01/18/2017","21","6","7","0","0.00","0.00","10","11","1","9.09","46.00"
" PHL","01/18/2017","22","1","6","1","16.67","42.00","9","11","2","18.18","19.50"
" PHL","01/18/2017","23","0","1","0","0.00","0.00","12","17","3","17.65","47.33"
" PHL","01/19/2017","0","0","1","0","0.00","0.00","5","11","1","9.09","150.00"
" PHL","01/19/2017","1","0","0","0","0.00","0.00","0","1","1","100.00","65.00"
" PHL","01/19/2017","2","0","2","0","0.00","0.00","0","0","0","0.00","0.00"
" PHL","01/19/2017","3","0","9","1","11.11","56.00","0","0","0","0.00","0.00"
" PHL","01/19/2017","4","0","0","0","0.00","0.00","1","0","0","0.00","0.00"
